"PROBEID","drug","logFC","adjP","direction","gene_id"
"201147_s_at","Vorinostat",0.779891801436194,3.63629034968336e-07,"Up","TIMP3"
"201148_s_at","Vorinostat",0.335093562182265,0.00173284348517446,"Up","TIMP3"
"201149_s_at","Vorinostat",0.690143710894706,1.51816144099638e-07,"Up","TIMP3"
"201150_s_at","Vorinostat",0.610241460336168,0.000263921060653785,"Up","TIMP3"
"201156_s_at","Vorinostat",0.350872558877202,5.47699591092205e-06,"Up","RAB5C"
"201158_at","Vorinostat",-0.220102737778345,0.0034854549889638,"Down","NMT1"
"201159_s_at","Vorinostat",-0.140638245762503,0.00115954299037059,"Down","NMT1"
"201160_s_at","Vorinostat",0.284659999230665,0.0488333792781485,"Up","YBX3"
"201162_at","Vorinostat",-0.394635860139527,0.00203761084525654,"Down","IGFBP7"
"201163_s_at","Vorinostat",-0.52271394795757,0.000470227312091996,"Down","IGFBP7"
"201164_s_at","Vorinostat",0.201351638567991,0.000620974341001245,"Up","PUM1"
"201168_x_at","Vorinostat",-0.201421785580202,4.1101565602984e-05,"Down","ARHGDIA"
"201170_s_at","Vorinostat",-0.243606230720467,0.0468413057739186,"Down","BHLHE40"
"201171_at","Vorinostat",0.14165850995981,0.0285976963292311,"Up","ATP6V0E1"
"201172_x_at","Vorinostat",0.662269034930883,1.6999712672902e-12,"Up","ATP6V0E1"
"201173_x_at","Vorinostat",0.570010769319539,1.11931531163193e-20,"Up","NUDC"
"201177_s_at","Vorinostat",-0.412741781118059,1.40009296914457e-09,"Down","UBA2"
"201178_at","Vorinostat",-0.319434209585298,0.000143881335036679,"Down","FBXO7"
"201179_s_at","Vorinostat",0.178402849001096,0.00833152165902822,"Up","GNAI3"
"201180_s_at","Vorinostat",0.153387602813919,0.0169082872820966,"Up","GNAI3"
"201183_s_at","Vorinostat",-0.225420090104506,0.0046088948275297,"Down","CHD4"
"201186_at","Vorinostat",0.264106012206268,0.00121899630465272,"Up","LRPAP1"
"201187_s_at","Vorinostat",0.0885637256274696,0.00334078643325481,"Up","ITPR3"
"201189_s_at","Vorinostat",0.254619557909379,0.00456610349757435,"Up","ITPR3"
"201190_s_at","Vorinostat",0.213098451459582,0.00108650828938895,"Up","PITPNA"
"201191_at","Vorinostat",0.116278846074546,0.0346580621018554,"Up","PITPNA"
"201193_at","Vorinostat",0.454411086108581,1.88091601261863e-06,"Up","IDH1"
"201194_at","Vorinostat",0.339513773349315,0.000185694568788057,"Up","SELENOW"
"201198_s_at","Vorinostat",0.147888304916666,0.00952767898548742,"Up","PSMD1"
"201200_at","Vorinostat",1.32858644444171,1.0495418390464e-29,"Up","CREG1"
"201204_s_at","Vorinostat",0.296607119148438,0.00163481574115067,"Up","RRBP1"
"201206_s_at","Vorinostat",-0.175887236079654,0.0312534264931649,"Down","RRBP1"
"201207_at","Vorinostat",0.126359676240783,0.0152958981839289,"Up","TNFAIP1"
"201209_at","Vorinostat",0.370270584302182,1.98085484488068e-06,"Up","HDAC1"
"201210_at","Vorinostat",-0.283050540150051,0.000871486555024902,"Down","DDX3X"
"201212_at","Vorinostat",0.407518206772609,2.34170163730755e-07,"Up","LGMN"
"201213_at","Vorinostat",-0.0867709815251909,0.0015542017404994,"Down","PPP1R7"
"201214_s_at","Vorinostat",0.184961273510876,0.00112054739985339,"Up","PPP1R7"
"201215_at","Vorinostat",0.327238439450264,0.0111612393059478,"Up","PLS3"
"201220_x_at","Vorinostat",0.385392429690481,6.98442683548442e-05,"Up","CTBP2"
"201222_s_at","Vorinostat",-0.721037812011472,1.1549922009288e-09,"Down","RAD23B"
"201223_s_at","Vorinostat",-0.336653498281306,1.19964965685145e-05,"Down","RAD23B"
"201228_s_at","Vorinostat",-0.122945672429498,0.00529826929615284,"Down","ARIH2"
"201232_s_at","Vorinostat",0.515003121730326,2.79207027538218e-13,"Up","PSMD13"
"201233_at","Vorinostat",0.451337261421546,9.04859411887458e-13,"Up","PSMD13"
"201234_at","Vorinostat",0.23466589724455,0.0137382978156912,"Up","ILK"
"201235_s_at","Vorinostat",0.15557911580337,0.0114189108775232,"Up","BTG2"
"201236_s_at","Vorinostat",0.192301156402713,0.0304959398337786,"Up","BTG2"
"201240_s_at","Vorinostat",-0.325933216196962,6.76590565784859e-07,"Down","SPCS2"
"201241_at","Vorinostat",-0.439481358560851,1.25460800920057e-12,"Down","DDX1"
"201242_s_at","Vorinostat",0.864252789739226,2.60221660343699e-09,"Up","ATP1B1"
"201243_s_at","Vorinostat",0.480808753061953,1.13799177823268e-09,"Up","ATP1B1"
"201244_s_at","Vorinostat",-0.393348953350607,2.24505901002572e-11,"Down","RAF1"
"201247_at","Vorinostat",-0.264353962536466,3.03308238026219e-07,"Down","SREBF2"
"201248_s_at","Vorinostat",-0.457266774571019,9.68453511037863e-12,"Down","SREBF2"
"201249_at","Vorinostat",-0.179478816570551,0.000275935213569807,"Down","SLC2A1"
"201250_s_at","Vorinostat",-0.247862851132153,0.00790616870429237,"Down","SLC2A1"
"201252_at","Vorinostat",-0.250605711396312,1.06766351046818e-05,"Down","PSMC4"
"201253_s_at","Vorinostat",0.668989934129544,2.46917207087504e-19,"Up","CDIPT"
"201256_at","Vorinostat",0.310027987058247,5.51308689568018e-05,"Up","COX7A2L"
"201258_at","Vorinostat",0.259989741272664,1.02281215150271e-05,"Up","RPS16"
